Subdirectory,Data,Model,Dimension of Hidden Layers,Heads,Training Epochs,Learning Rate,Weight Decay,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Jaccard Score,Precision,Recall,ROC AUC Score
1669041850,metaQSAR.sdf,GIN,4,0,600,0.1,0.1,0.096176036,0.21036359903388324,0.21777777777777776,0.36444444444444446,0.15557275541795665,0.1746307558644657,0.5877192982456141,0.6933719186970597
1669044201,metaQSAR.sdf,GIN,4,0,600,0.1,0.01,0.0796449,0.19352882986789324,0.2088888888888889,0.3333333333333333,0.1388888888888889,0.14760147601476015,0.7017543859649122,0.7185554096950615
1669046626,metaQSAR.sdf,GIN,4,0,600,0.1,0.001,0.13014446,0.2611631026403547,0.26666666666666666,0.4,0.18545454545454546,0.21205821205821207,0.5964912280701754,0.7440866351186958
1669048823,metaQSAR.sdf,GIN,4,0,600,0.1,0.0001,0.20401834,0.2570014996644882,0.3022222222222222,0.4222222222222222,0.1820580474934037,0.20658682634730538,0.6052631578947368,0.753547267070565
1669051102,metaQSAR.sdf,GIN,4,0,600,0.1,1e-05,0.110805504,0.15498511131451026,0.2222222222222222,0.3022222222222222,0.1252913752913753,0.13530522341095028,0.6286549707602339,0.6595112320099126
1669053373,metaQSAR.sdf,GIN,4,0,600,0.01,0.1,0.21459079,0.3754671362941687,0.39111111111111113,0.5288888888888889,0.26485148514851486,0.31470588235294117,0.6257309941520468,0.7980527624022772
1669055607,metaQSAR.sdf,GIN,4,0,600,0.01,0.01,0.13275446,0.3238192964776659,0.40444444444444444,0.49333333333333335,0.22146341463414634,0.24945054945054945,0.6637426900584795,0.7980132898458541
1669057841,metaQSAR.sdf,GIN,4,0,600,0.01,0.001,0.19628216,0.3343104247552247,0.4622222222222222,0.5822222222222222,0.22944162436548224,0.2600690448791715,0.6608187134502924,0.8115610230685137
1669060062,metaQSAR.sdf,GIN,4,0,600,0.01,0.0001,0.10007023,0.326027011514791,0.4488888888888889,0.5733333333333334,0.20985691573926868,0.22372881355932203,0.7719298245614035,0.8211938305522098
1669062333,metaQSAR.sdf,GIN,4,0,600,0.01,1e-05,0.1194219,0.3198547883704322,0.4088888888888889,0.5422222222222223,0.212489158716392,0.23200757575757575,0.716374269005848,0.8258425699115364
1669064558,metaQSAR.sdf,GIN,4,0,600,0.001,0.1,0.17654416,0.39290306752974297,0.4311111111111111,0.5866666666666667,0.27392344497607657,0.31673582295988933,0.6695906432748538,0.8293187863805395
1669066802,metaQSAR.sdf,GIN,4,0,600,0.001,0.01,0.16370617,0.3454251866644819,0.4266666666666667,0.5511111111111111,0.23278370514064015,0.25834230355220666,0.7017543859649122,0.8248553800718476
1669069073,metaQSAR.sdf,GIN,4,0,600,0.001,0.001,0.15464307,0.3480522018416509,0.4444444444444444,0.6177777777777778,0.23251417769376181,0.25571725571725573,0.7192982456140351,0.8320228444600832
1669071392,metaQSAR.sdf,GIN,4,0,600,0.001,0.0001,0.19678105,0.37269470276591987,0.47555555555555556,0.6177777777777778,0.25663716814159293,0.29219143576826195,0.6783625730994152,0.8460543984457586
1669073690,metaQSAR.sdf,GIN,4,0,600,0.001,1e-05,0.15636711,0.3426842445088966,0.4711111111111111,0.6266666666666667,0.22241086587436332,0.23861566484517305,0.7660818713450293,0.8461792069098778
1669075931,metaQSAR.sdf,GIN,4,0,600,0.0001,0.1,0.20752822,0.40486973981365804,0.4488888888888889,0.6088888888888889,0.28376703841387857,0.329971181556196,0.6695906432748538,0.843556725446942
1669078174,metaQSAR.sdf,GIN,4,0,600,0.0001,0.01,0.16047686,0.35936100820850164,0.4266666666666667,0.56,0.24294354838709678,0.27048260381593714,0.7046783625730995,0.8349190023142197
1669080407,metaQSAR.sdf,GIN,4,0,600,0.0001,0.001,0.13759424,0.35811740866186714,0.4666666666666667,0.6177777777777778,0.23577981651376148,0.2557213930348259,0.7514619883040936,0.8472427103586515
1669082613,metaQSAR.sdf,GIN,4,0,600,0.0001,0.0001,0.14988999,0.3528059327862821,0.4533333333333333,0.5866666666666667,0.23376623376623376,0.2550607287449393,0.7368421052631579,0.8397575858734863
1669084881,metaQSAR.sdf,GIN,4,0,600,0.0001,1e-05,0.1462671,0.37287353115195293,0.48444444444444446,0.6133333333333333,0.24950298210735586,0.2743169398907104,0.7339181286549707,0.8403748614701234
1669087134,metaQSAR.sdf,GIN,4,0,600,1e-05,0.1,0.16492444,0.34883923622052787,0.4222222222222222,0.5422222222222223,0.2422907488986784,0.27989821882951654,0.6432748538011696,0.8068028883385288
1669089363,metaQSAR.sdf,GIN,4,0,600,1e-05,0.01,0.102797166,0.2925780636940551,0.40444444444444444,0.5377777777777778,0.18970588235294117,0.20219435736677116,0.7543859649122807,0.8059547922690932
1669091571,metaQSAR.sdf,GIN,4,0,600,1e-05,0.001,0.13658717,0.3162765520455405,0.4088888888888889,0.5377777777777778,0.2127468581687612,0.2348860257680872,0.6929824561403509,0.8055149552118059
1669093785,metaQSAR.sdf,GIN,4,0,600,1e-05,0.0001,0.17834327,0.3495873623867667,0.40444444444444444,0.5422222222222223,0.24382022471910111,0.28366013071895424,0.6345029239766082,0.805523977510417
1669096051,metaQSAR.sdf,GIN,4,0,600,1e-05,1e-05,0.13828233,0.31779750845251115,0.40444444444444444,0.5377777777777778,0.21415607985480944,0.23694779116465864,0.6900584795321637,0.8068201810775332
1669098300,metaQSAR.sdf,GIN,8,0,600,0.1,0.1,0.20141827,0.27127367572988687,0.29777777777777775,0.4177777777777778,0.18744698897370654,0.20888468809073724,0.6461988304093568,0.7559114852357602
1669100603,metaQSAR.sdf,GIN,8,0,600,0.1,0.01,0.1628922,0.23975435026328107,0.26222222222222225,0.4311111111111111,0.16133246244284782,0.17200557103064068,0.7222222222222222,0.7584200601787318
1669102858,metaQSAR.sdf,GIN,8,0,600,0.1,0.001,0.1729831,0.18732538468852927,0.21777777777777776,0.3244444444444444,0.13708260105448156,0.14634146341463414,0.6842105263157895,0.708378256861834
1669105152,metaQSAR.sdf,GIN,8,0,600,0.1,0.0001,0.16603924,0.28779060351540525,0.28444444444444444,0.4177777777777778,0.1976950354609929,0.22101090188305253,0.652046783625731,0.7610887809220488
1669107456,metaQSAR.sdf,GIN,8,0,600,0.1,1e-05,0.17621209,0.22732936151334637,0.2311111111111111,0.38222222222222224,0.15796610169491526,0.1705710102489019,0.6812865497076024,0.7407592865767745
